CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
161,Male,51,46,83
162,Male,37,114,23
163,Female,52,144,100
164,Female,68,118,32
165,Female,67,103,62
166,Male,35,63,45
167,Female,63,101,68
168,Male,41,22,30
169,Male,25,115,39
170,Female,47,30,5
171,Female,61,54,67
172,Male,27,120,22
173,Male,40,41,28
174,Female,69,118,22
175,Female,66,119,86
176,Female,28,49,98
177,Male,19,127,29
178,Male,43,66,43
179,Male,53,67,42
180,Male,50,105,60
181,Male,64,95,77
182,Male,30,118,71
183,Female,57,80,74
184,Male,42,127,92
185,Male,21,45,68
186,Male,59,75,59
187,Female,36,115,96
188,Male,35,119,86
189,Male,54,112,84
190,Female,47,48,84
191,Male,36,73,6
192,Male,40,17,73
193,Male,33,31,28
194,Male,18,92,77
195,Male,29,60,31
196,Female,41,49,39
197,Female,51,143,50
198,Female,25,126,78
199,Male,35,146,86
200,Male,65,75,37
201,Male,22,111,88
202,Female,43,104,72
203,Male,47,73,15
204,Male,30,32,51
205,Female,36,109,70
206,Male,46,30,23
207,Female,20,24,25
208,Female,43,118,95
209,Female,57,90,46
210,Male,29,30,93
211,Male,19,26,23
212,Male,28,89,10
213,Male,61,143,73
214,Male,45,41,77
215,Male,35,26,32
216,Male,30,44,51
217,Female,54,23,41
218,Male,39,67,65
219,Female,29,68,65
220,Male,19,63,40
221,Male,54,18,18
222,Male,24,93,36
223,Female,43,105,31
224,Female,43,93,54
225,Female,41,117,63
226,Female,29,125,1
227,Male,33,72,52
228,Female,40,96,100
229,Male,57,146,57
230,Male,26,36,9
231,Female,49,145,86
232,Female,32,93,92
233,Female,54,113,90
234,Female,30,52,74
235,Female,22,131,56
236,Female,28,40,47
237,Female,27,64,3
238,Female,69,52,2
239,Male,30,56,54
240,Female,58,51,37
241,Female,63,63,56
242,Male,67,60,31
243,Female,32,43,97
244,Male,59,26,96
245,Male,24,130,12
246,Female,57,96,58
247,Male,45,58,67
248,Male,49,16,26
249,Male,52,31,78
250,Male,32,32,12
251,Female,65,36,90
252,Male,53,97,16
253,Female,38,72,53
254,Male,23,67,72
255,Male,18,15,49
256,Male,21,75,49
257,Male,28,45,92
258,Female,61,80,7
259,Female,43,67,15
260,Male,54,109,36
261,Male,40,37,72
262,Female,46,145,74
263,Male,38,101,15
264,Male,65,139,62
265,Male,62,123,18
266,Female,62,54,46
267,Female,66,135,61
268,Female,44,53,43
269,Male,56,134,44
270,Male,57,32,99
271,Female,30,51,66
272,Female,40,19,55
273,Female,33,87,86
274,Female,47,149,79
275,Male,21,55,39
276,Female,57,24,100
277,Male,33,82,5
278,Female,48,38,57
279,Male,59,92,15
280,Female,42,123,91
281,Female,61,38,16
282,Female,29,21,57
283,Female,43,87,100
284,Male,54,121,82
285,Female,65,113,99
286,Male,50,136,25
287,Male,45,26,22
288,Male,26,99,31
289,Male,29,17,34
290,Female,22,93,87
291,Male,69,99,16
292,Male,45,24,70
293,Male,52,47,59
294,Female,22,60,15
295,Female,51,73,82
296,Female,63,66,13
297,Female,51,20,24
298,Male,30,144,13
299,Male,56,43,65
300,Female,59,133,36
301,Male,62,111,49
302,Male,65,82,82
303,Male,31,74,48
304,Female,28,138,97
305,Female,59,98,43
306,Male,55,55,6
307,Female,21,127,81
308,Female,50,79,68
309,Female,24,93,14
310,Female,58,77,30
311,Female,25,132,84
312,Male,54,51,8
313,Female,68,78,54
314,Male,27,100,66
315,Male,60,147,4
316,Female,32,48,74
317,Male,55,53,84
318,Male,32,81,60
319,Male,22,76,53
320,Female,46,102,99
321,Female,36,145,74
322,Male,68,123,92
323,Female,27,103,15
324,Female,29,81,100
325,Female,21,93,1
326,Female,48,43,22
327,Male,35,88,91
328,Male,33,46,93
329,Female,57,101,15
330,Female,53,53,74
331,Male,42,115,84
332,Male,40,82,22
333,Female,29,42,50
334,Male,51,28,48
335,Female,53,91,73
336,Female,54,130,51
337,Male,20,42,96
338,Male,26,103,17
339,Female,35,46,83
340,Female,60,109,91
341,Male,52,31,51
342,Female,51,131,37
343,Male,58,91,98
344,Female,31,69,49
345,Male,21,24,59
346,Male,46,94,10
347,Male,58,148,30
348,Female,62,130,85
349,Female,67,93,21
350,Male,32,74,34
351,Female,45,56,73
352,Male,59,130,98
353,Male,33,123,50
354,Female,29,85,76
355,Female,69,116,47
356,Male,22,27,85
357,Female,51,29,84
358,Female,59,50,6
359,Male,18,29,50
360,Male,56,131,100
361,Female,49,89,63
362,Male,43,70,12
363,Male,34,109,41
364,Female,65,146,31
365,Male,44,66,2
366,Male,41,98,16
367,Female,52,43,1
368,Female,63,67,4
369,Male,59,35,47
370,Male,56,126,65
371,Female,43,90,52
372,Female,66,44,47
373,Female,55,139,99
374,Female,40,65,77
375,Male,39,92,50
376,Female,21,36,45
377,Female,66,78,42
378,Male,26,35,95
379,Female,21,143,84
380,Male,24,121,56
381,Female,40,130,71
382,Female,19,138,57
383,Female,66,50,33
384,Male,41,61,28
385,Male,57,46,44
386,Female,48,68,56
387,Male,64,37,44
388,Male,48,16,84
389,Male,64,124,96
390,Male,57,138,73
391,Male,65,81,34
392,Male,68,85,14
393,Female,60,43,68
394,Female,51,133,29
395,Male,41,127,79
396,Female,66,59,17
397,Female,43,30,83
398,Female,33,45,9
399,Female,64,64,27
400,Male,30,136,49
401,Female,32,29,79
402,Female,44,63,37
403,Male,21,24,28
404,Male,33,34,50
405,Female,47,84,55
406,Female,61,22,4
407,Female,47,48,85
408,Female,53,18,98
409,Female,20,122,19
410,Female,39,38,37
411,Male,66,69,4
412,Female,39,40,37
413,Female,67,39,51
414,Male,67,50,32
415,Male,66,85,45
416,Male,29,26,12
417,Male,38,143,41
418,Female,21,130,56
419,Female,48,147,80
420,Female,61,97,14
421,Female,48,20,54
422,Female,40,40,63
423,Female,37,127,65
424,Male,32,117,58
425,Female,40,134,96
426,Male,45,23,21
427,Male,33,59,4
428,Female,54,28,73
429,Male,38,126,46
430,Female,32,69,86
431,Male,34,29,12
432,Female,67,51,30
433,Male,54,141,94
434,Female,30,131,96
435,Female,36,98,60
436,Female,47,86,100
437,Female,62,110,71
438,Female,35,125,81
439,Male,31,119,65
440,Male,53,72,14
441,Male,53,109,44
442,Female,37,132,26
443,Male,69,20,91
444,Female,36,18,16
445,Female,62,57,7
446,Male,61,107,32
447,Male,24,56,89
448,Female,61,17,95
449,Male,21,143,16
450,Female,51,29,78
451,Female,19,61,89
452,Female,22,99,62
453,Female,27,72,30
454,Female,49,53,71
455,Male,59,145,12
456,Male,58,49,67
457,Female,30,66,91
458,Female,56,132,46
459,Male,22,28,83
460,Male,27,44,43
461,Female,27,104,55
462,Male,55,149,45
463,Female,44,109,60
464,Male,68,83,71
465,Female,38,141,80
466,Male,25,66,32
467,Female,18,77,8
468,Male,45,50,77
469,Male,66,105,62
470,Female,56,67,75
471,Male,31,123,20
472,Female,38,86,18
473,Male,47,29,6
474,Female,38,127,84
475,Male,66,83,96
476,Female,26,130,29
477,Male,34,18,4
478,Female,22,89,71
479,Male,48,56,43
480,Female,69,44,84
481,Female,57,84,34
482,Female,55,30,100
483,Male,60,125,71
484,Female,36,118,33
485,Male,53,121,15
486,Female,67,137,96
487,Male,50,41,86
488,Female,30,27,40
489,Male,31,87,93
490,Male,50,100,89
491,Female,46,45,5
492,Male,60,17,78
493,Male,66,44,50
494,Female,53,113,99
495,Male,61,148,66
496,Male,27,113,89
497,Male,48,100,54
498,Female,23,78,80
499,Male,18,132,46
500,Female,24,128,80
501,Male,44,101,11
502,Male,38,54,49
503,Male,45,39,99
504,Female,33,109,23
505,Male,63,60,55
506,Male,40,46,5
507,Female,69,111,64
508,Male,37,30,35
509,Female,55,32,93
510,Female,42,89,69
511,Male,45,15,54
512,Female,22,139,3
513,Male,38,52,6
514,Female,35,59,87
515,Female,64,95,56
516,Male,23,143,2
517,Female,46,46,82
518,Female,36,132,94
519,Female,50,54,38
520,Female,18,88,56
521,Female,62,125,5
522,Male,20,117,46
523,Female,59,117,11
524,Male,38,88,65
525,Female,52,128,10
526,Male,58,137,41
527,Male,57,71,44
528,Female,20,88,90
529,Female,42,97,33
530,Female,62,93,91
531,Male,55,144,56
532,Female,62,107,12
533,Male,37,64,2
534,Male,69,43,1
535,Male,61,95,65
536,Female,62,24,33
537,Female,51,131,86
538,Male,38,74,76
539,Male,65,74,36
540,Female,40,72,21
541,Male,23,59,84
542,Female,68,138,36
543,Male,30,40,26
544,Female,66,116,47
545,Male,40,65,95
546,Female,26,66,1
547,Male,34,65,38
548,Female,19,145,14
549,Female,36,28,90
550,Male,36,15,46
551,Male,24,28,42
552,Female,59,95,7
553,Male,59,17,55
554,Female,37,112,56
555,Male,26,54,76
556,Female,34,103,63
557,Female,44,139,24
558,Female,64,109,83
559,Female,19,23,73
560,Female,53,108,99
561,Female,36,98,4
562,Male,34,35,42
563,Male,22,39,96
564,Male,56,116,70
565,Female,35,136,28
566,Female,24,39,92
567,Female,34,117,40
568,Female,56,71,51
569,Male,53,51,29
570,Male,57,30,42
571,Female,62,51,69
572,Male,21,90,5
573,Male,55,40,41
574,Female,42,34,61
575,Male,22,117,55
576,Female,47,43,28
577,Male,29,45,41
578,Female,21,33,9
579,Female,41,41,29
580,Female,46,108,78
581,Female,26,99,38
582,Male,21,58,62
583,Female,68,127,54
584,Female,41,88,52
585,Female,31,101,34
586,Male,22,108,37
587,Female,35,112,49
588,Male,59,146,42
589,Female,36,70,14
590,Male,29,111,82
591,Male,35,112,33
592,Female,34,48,98
593,Male,47,114,92
594,Female,41,28,100
595,Female,28,126,87
596,Female,52,89,17
597,Male,40,111,75
598,Male,34,135,32
599,Female,18,69,79
600,Female,32,131,68
601,Male,49,107,39
602,Female,26,51,94
603,Female,32,40,10
604,Female,45,81,87
605,Male,41,98,24
606,Male,52,32,100
607,Male,39,41,58
608,Female,44,45,69
609,Female,36,120,64
610,Female,62,143,19
611,Male,29,20,8
612,Female,37,25,71
613,Female,18,32,40
614,Female,38,35,13
615,Female,66,33,27
616,Male,62,18,82
617,Male,18,91,88
618,Female,27,130,2
619,Male,64,39,16
620,Male,49,91,14
621,Female,56,63,17
622,Female,39,79,60
623,Male,35,97,70
624,Female,65,15,99
625,Male,63,95,17
626,Female,49,35,45
627,Male,44,100,38
628,Female,45,29,64
629,Male,35,64,6
630,Male,56,62,60
631,Male,66,63,49
632,Female,46,122,21
633,Male,35,59,99
634,Male,61,46,23
635,Female,25,146,76
636,Female,48,111,57
637,Male,51,94,64
638,Male,24,68,29
639,Female,53,141,27
640,Female,35,148,6
641,Female,55,80,21
642,Female,26,123,71
643,Female,26,37,41
644,Male,63,121,80
645,Female,25,65,5
646,Male,68,86,15
647,Male,52,117,21
648,Male,35,94,58
649,Female,22,32,4
650,Male,31,95,69
651,Male,45,121,7
652,Female,47,83,35
653,Male,21,94,36
654,Male,56,56,15
655,Female,37,48,92
656,Male,42,62,2
657,Male,45,19,57
658,Male,29,130,5
659,Female,19,131,71
660,Female,60,122,86
661,Female,31,37,95
662,Male,39,76,32
663,Male,48,27,72
664,Female,40,34,41
665,Male,65,106,42
666,Male,37,122,75
667,Female,55,122,65
668,Female,21,47,40
669,Male,32,78,83
670,Male,41,44,38
671,Male,42,122,42
672,Female,18,87,37
673,Female,24,123,56
674,Female,48,114,71
675,Female,29,28,55
676,Male,59,33,89
677,Female,22,85,54
678,Female,61,73,22
679,Female,67,111,27
680,Female,59,58,47
681,Female,55,125,38
682,Male,29,25,39
683,Male,56,120,15
684,Female,35,16,66
685,Male,19,139,61
686,Female,27,108,60
687,Female,32,107,8
688,Male,47,18,44
689,Male,61,77,43
690,Female,34,43,6
691,Female,21,33,84
692,Female,24,105,27
693,Male,58,43,45
694,Female,48,130,23
695,Female,68,84,81
696,Female,56,137,13
697,Male,51,37,68
698,Female,23,60,84
699,Female,67,22,64
700,Male,55,80,25
701,Female,62,114,86
702,Female,68,75,52
703,Male,51,126,48
704,Female,61,66,61
705,Male,32,50,17
706,Male,31,126,40
707,Female,23,101,75
708,Female,67,99,89
709,Female,54,27,69
710,Female,67,61,85
711,Male,49,104,26
712,Female,20,36,80
713,Male,20,72,56
714,Female,39,44,40
715,Female,39,120,85
716,Female,27,88,96
717,Male,68,108,68
718,Female,20,85,8
719,Female,29,21,73
720,Female,46,79,45
721,Female,65,60,17
722,Male,34,32,41
723,Female,24,22,77
724,Male,30,88,9
725,Male,19,116,70
726,Male,21,93,91
727,Male,27,93,24
728,Male,56,135,73
729,Male,41,77,11
730,Female,34,54,35
731,Male,69,98,29
732,Male,23,29,8
733,Male,36,113,17
734,Female,22,148,71
735,Female,49,135,12
736,Male,27,77,79
737,Female,26,142,93
738,Male,44,126,50
739,Male,30,125,24
740,Female,36,46,37
741,Male,38,59,78
742,Female,41,136,11
743,Female,55,96,99
744,Male,21,27,81
745,Male,41,38,59
746,Female,52,28,55
747,Male,20,84,27
748,Male,21,76,67
749,Male,54,134,60
750,Female,57,103,2
751,Female,65,15,68
752,Male,52,140,18
753,Female,48,46,20
754,Female,61,46,85
755,Female,42,70,63
756,Female,57,105,78
757,Female,30,18,72
758,Male,21,37,2
759,Male,63,43,90
760,Male,31,112,83
761,Female,30,44,42
762,Female,44,104,28
763,Male,23,81,29
764,Female,34,115,69
765,Male,53,72,28
766,Male,57,39,60
767,Male,66,37,90
768,Female,52,143,5
769,Female,34,111,15
770,Male,58,142,73
771,Male,19,95,32
772,Male,30,18,52
773,Male,69,149,90
774,Female,19,60,37
775,Female,69,23,15
776,Male,45,47,41
777,Male,60,98,4
778,Female,43,146,53
779,Female,39,79,100
780,Male,64,120,84
781,Male,60,48,27
782,Male,20,99,21
783,Female,52,102,60
784,Female,29,69,86
785,Female,41,31,64
786,Male,22,145,71
787,Male,37,18,47
788,Female,56,21,54
789,Female,56,40,31
790,Male,30,38,17
791,Female,58,24,50
792,Female,62,27,7
793,Male,29,139,83
794,Female,30,53,28
795,Male,27,33,10
796,Male,50,90,27
797,Male,57,66,13
798,Male,33,134,66
799,Male,62,60,86
800,Male,52,89,84
801,Male,20,138,60
802,Female,22,62,43
803,Male,43,76,69
804,Male,28,72,63
805,Female,24,32,70
806,Female,27,122,99
807,Female,59,62,65
808,Male,69,77,99
809,Female,51,26,67
810,Male,20,48,54
811,Male,25,116,36
812,Male,48,101,71
813,Male,28,39,93
814,Female,62,146,15
815,Female,24,63,75
816,Male,62,92,18
817,Male,19,69,4
818,Male,23,32,88
819,Female,58,49,11
820,Male,49,21,6
821,Male,37,27,51
822,Female,51,140,58
823,Female,67,126,60
824,Male,33,83,18
825,Female,42,114,79
826,Female,29,104,67
827,Male,24,56,17
828,Female,56,123,97
829,Male,34,124,34
830,Female,62,40,30
831,Male,28,90,19
832,Male,23,46,9
833,Male,40,105,40
834,Female,44,139,44
835,Male,63,140,95
836,Female,23,66,59
837,Male,55,117,91
838,Male,19,119,25
839,Female,39,28,71
840,Male,37,118,53
841,Male,42,131,48
842,Female,32,62,71
843,Male,66,107,84
844,Male,46,124,53
845,Male,25,67,49
846,Male,54,17,43
847,Female,66,82,100
848,Female,69,147,19
849,Male,50,66,66
850,Female,39,110,34
851,Male,67,45,81
852,Female,64,80,88
853,Male,22,105,73
854,Male,56,83,54
855,Male,35,101,1
856,Male,55,47,92
857,Male,54,82,55
858,Male,47,102,15
859,Female,68,109,85
860,Male,48,122,15
861,Female,27,67,23
862,Male,32,88,66
863,Female,59,63,46
864,Female,65,127,100
865,Female,61,128,9
866,Male,35,109,66
867,Male,40,39,66
868,Female,50,146,18
869,Male,33,122,17
870,Female,55,83,72
871,Male,52,98,98
872,Female,51,99,34
873,Female,45,133,69
874,Male,19,86,64
875,Female,47,34,44
876,Male,30,41,29
877,Female,58,22,62
878,Female,33,99,92
879,Male,22,75,16
880,Male,45,17,78
881,Male,56,21,52
882,Female,62,18,2
883,Male,37,147,61
884,Female,41,139,4
885,Female,44,29,52
886,Male,47,27,41
887,Male,62,132,52
888,Female,44,21,31
889,Female,43,118,26
890,Male,24,20,27
891,Male,59,78,51
892,Male,64,44,98
893,Male,55,36,95
894,Male,22,132,48
895,Female,40,98,11
896,Female,45,147,8
897,Female,51,104,12
898,Female,32,135,99
899,Male,49,120,45
900,Male,43,83,34
901,Male,65,109,77
902,Female,48,91,91
903,Female,36,15,72
904,Male,26,76,47
905,Male,46,32,21
906,Female,68,62,41
907,Female,56,15,75
908,Male,21,121,22
909,Male,20,144,21
910,Female,46,52,28
911,Male,69,54,67
912,Male,28,96,71
913,Male,50,30,14
914,Female,55,141,79
915,Female,28,131,73
916,Female,44,107,52
917,Female,50,148,43
918,Female,38,17,71
919,Female,56,28,76
920,Female,48,80,19
921,Male,55,109,27
922,Male,63,100,18
923,Male,19,128,13
924,Male,44,143,1
925,Male,53,29,85
926,Male,28,51,34
927,Male,64,41,13
928,Female,35,26,51
929,Female,18,81,87
930,Male,52,44,1
931,Male,52,110,87
932,Female,48,149,28
933,Male,45,48,32
934,Male,56,46,72
935,Female,18,131,55
936,Male,42,53,26
937,Female,60,110,14
938,Male,55,145,88
939,Female,37,57,93
940,Female,20,95,68
941,Female,68,17,63
942,Male,19,88,82
943,Female,35,131,14
944,Male,61,77,27
945,Male,27,125,41
946,Male,22,54,3
947,Male,26,32,94
948,Female,19,81,59
949,Female,51,117,100
950,Male,55,60,23
951,Male,48,69,18
952,Female,27,89,74
953,Male,67,111,76
954,Female,29,40,41
955,Male,53,36,8
956,Male,38,40,32
957,Female,66,87,81
958,Male,64,129,41
959,Female,23,65,45
960,Male,65,127,78
961,Male,66,26,9
962,Male,20,17,90
963,Female,27,134,48
964,Male,22,149,24
965,Male,63,148,87
966,Male,43,96,95
967,Male,38,59,44
968,Female,62,141,58
969,Female,43,100,66
970,Male,55,129,18
971,Female,61,23,80
972,Male,43,26,29
973,Male,25,130,75
974,Male,22,102,2
975,Female,32,76,78
976,Female,33,118,68
977,Female,18,87,98
978,Female,33,91,39
979,Female,54,54,73
980,Female,20,149,41
981,Female,69,31,71
982,Female,64,133,81
983,Female,48,140,87
984,Male,30,38,75
985,Female,33,16,22
986,Female,60,106,82
987,Female,38,131,49
988,Female,19,67,28
989,Female,44,60,16
990,Female,55,59,68
991,Female,43,23,62
992,Female,55,20,36
993,Female,63,65,22
994,Female,42,133,11
995,Female,28,49,85
996,Male,25,96,80
997,Male,25,39,42
998,Female,50,31,55
999,Female,24,50,73
1000,Male,55,110,35
1001,Female,38,35,57
1002,Male,25,32,34
1003,Male,68,15,73
1004,Male,38,65,77
1005,Male,37,93,70
1006,Male,25,50,4
1007,Female,63,76,46
1008,Male,48,143,92
1009,Female,67,99,11
1010,Female,46,56,98
1011,Male,65,15,61
1012,Male,26,68,35
1013,Female,32,114,69
1014,Male,47,53,57
1015,Male,43,21,11
1016,Female,27,135,12
1017,Female,46,59,43
1018,Male,33,88,19
1019,Female,53,134,77
1020,Male,37,86,68
1021,Male,62,60,78
1022,Male,54,137,59
1023,Female,39,132,2
1024,Female,24,89,8
1025,Female,40,20,22
1026,Female,58,35,77
1027,Female,57,117,21
1028,Male,46,102,85
1029,Male,33,113,92
1030,Male,55,76,97
1031,Male,45,121,29
1032,Female,65,97,86
1033,Male,55,70,90
1034,Female,48,36,75
1035,Male,31,82,75
1036,Female,50,24,98
1037,Female,26,80,83
1038,Male,44,22,37
1039,Male,41,137,78
1040,Male,30,52,29
1041,Male,43,137,83
1042,Female,46,76,37
1043,Male,68,59,21
1044,Male,66,79,88
1045,Female,60,81,90
1046,Male,45,147,12
1047,Male,45,120,48
1048,Male,25,96,83
1049,Male,40,72,47
1050,Male,46,145,94
1051,Female,22,83,15
1052,Male,59,103,67
1053,Male,24,78,13
1054,Male,59,86,59
1055,Male,53,31,73
1056,Male,58,87,13
1057,Female,44,84,80
1058,Male,63,127,78
1059,Female,19,35,72
1060,Female,42,149,19
1061,Male,26,21,57
1062,Male,44,125,32
1063,Male,18,41,99
1064,Male,40,22,87
1065,Female,27,42,21
1066,Male,59,61,82
1067,Male,69,100,14
1068,Male,42,24,80
1069,Male,20,128,24
1070,Male,23,47,49
1071,Male,23,149,32
1072,Female,19,145,75
1073,Female,35,28,11
1074,Male,40,60,60
1075,Male,19,75,68
1076,Male,29,27,61
1077,Female,39,30,90
1078,Male,54,147,5
1079,Female,37,52,36
1080,Male,56,52,97
1081,Male,41,117,64
1082,Male,65,70,78
1083,Male,37,77,32
1084,Female,18,134,71
1085,Female,18,62,74
1086,Male,34,119,66
1087,Male,18,73,10
1088,Female,69,91,99
1089,Female,62,141,21
1090,Female,47,69,40
1091,Female,58,69,42
1092,Male,64,143,72
1093,Female,20,141,46
1094,Male,63,146,82
1095,Female,28,99,73
1096,Female,41,129,41
1097,Female,39,72,94
1098,Female,61,51,4
1099,Female,62,63,99
1100,Male,43,81,14
1101,Male,30,33,14
1102,Female,18,143,53
1103,Female,41,43,84
1104,Male,27,101,29
1105,Female,52,47,23
1106,Female,41,133,85
1107,Male,45,147,31
1108,Female,53,85,96
1109,Female,33,148,71
1110,Male,57,36,77
1111,Male,33,91,61
1112,Male,34,18,23
1113,Female,68,86,8
1114,Male,32,142,76
1115,Male,33,59,100
1116,Male,32,107,16
1117,Male,51,19,26
1118,Male,28,118,29
1119,Male,18,95,93
1120,Female,32,101,6
1121,Female,43,144,37
1122,Male,68,77,33
1123,Male,21,65,95
1124,Male,60,130,46
1125,Female,22,127,61
1126,Female,52,45,41
1127,Female,30,21,18
1128,Female,27,17,95
1129,Female,28,65,16
1130,Female,35,70,51
1131,Female,51,87,37
1132,Female,56,24,14
1133,Female,58,75,68
1134,Male,59,64,30
1135,Male,67,136,60
1136,Male,40,15,53
1137,Male,24,52,97
1138,Female,56,93,36
1139,Female,20,103,30
1140,Male,29,96,64
1141,Female,24,81,14
1142,Male,66,31,23
1143,Female,43,141,48
1144,Male,50,126,28
1145,Female,54,74,7
1146,Female,65,54,42
1147,Male,32,103,10
1148,Female,19,55,68
1149,Male,58,129,44
1150,Male,24,114,13
1151,Male,49,131,85
1152,Male,21,103,33
1153,Female,37,107,92
1154,Female,67,74,87
1155,Female,53,82,32
1156,Male,49,92,48
1157,Female,45,60,5
1158,Male,30,52,61
1159,Female,18,31,90
1160,Female,52,80,90
1161,Female,65,50,3
1162,Male,47,88,24
1163,Female,53,21,98
1164,Female,42,30,34
1165,Male,33,28,84
1166,Female,36,94,94
1167,Male,18,39,42
1168,Female,22,119,20
1169,Male,68,18,41
1170,Male,39,141,82
1171,Female,41,70,20
1172,Male,60,20,6
1173,Male,62,143,57
1174,Male,69,143,42
1175,Male,54,129,25
1176,Male,53,71,41
1177,Male,53,79,41
1178,Female,21,79,3
1179,Male,53,117,43
1180,Male,69,35,46
1181,Female,35,47,57
1182,Female,67,36,83
1183,Female,33,124,74
1184,Female,58,18,51
1185,Female,35,88,5
1186,Female,39,133,86
1187,Female,19,107,73
1188,Male,38,79,97
1189,Male,53,79,15
1190,Female,61,24,88
1191,Male,56,61,94
1192,Male,64,80,100
1193,Male,56,63,39
1194,Female,46,36,70
1195,Female,43,100,79
1196,Male,38,40,38
1197,Female,34,109,39
1198,Male,33,121,52
1199,Male,48,148,86
1200,Male,68,28,3
1201,Male,26,85,29
1202,Female,48,89,93
1203,Female,31,134,31
1204,Female,66,126,66
1205,Male,54,65,99
1206,Female,19,144,45
1207,Male,69,50,73
1208,Female,65,132,22
1209,Male,63,18,83
1210,Male,31,20,10
1211,Male,50,124,21
1212,Female,52,113,17
1213,Female,56,136,67
1214,Female,64,131,7
1215,Female,68,110,36
1216,Male,37,81,67
1217,Female,19,134,77
1218,Female,68,29,30
1219,Male,58,31,87
1220,Male,36,32,71
1221,Male,54,129,94
1222,Female,35,90,29
1223,Male,33,102,72
1224,Male,21,105,74
1225,Male,29,62,33
1226,Female,46,29,59
1227,Male,24,137,20
1228,Female,31,141,93
1229,Female,29,112,29
1230,Male,52,98,53
1231,Male,22,55,85
1232,Female,34,110,1
1233,Male,59,82,34
1234,Male,49,19,44
1235,Female,27,67,96
1236,Female,60,136,14
1237,Male,34,36,37
1238,Female,22,120,35
1239,Male,62,21,59
1240,Male,59,60,24
1241,Male,26,44,65
1242,Female,66,140,6
1243,Male,50,115,68
1244,Male,53,93,38
